id,year,city,name,county,fips,loans,ussec,othsec,cchdufrm,otherassets,assets,capital,surpro,profits,totdep,circulation,billsred,otherliabs,assets_check,diff,liabs_check,diff1
41201,1933,Galveston,City,Galveston,48167,2953152,500000,1499253,3698879,234813,8886097,200000,200000,67455,8191722,200000,0,26920,8886097,0,8886097,0
41203,1933,Galveston,United States,Galveston,48167,3431577,3777627,1106071,1010893,749493,10075661,1000000,100000,65407,7909048,985180,0,16026,10075661,0,10075661,0
41202,1933,Galveston,South Texas (Huchings-Sealy),Galveston,48167,4495360,420297,827042,2215220,1063554,9021473,750000,250000,179891,7033868,0,0,807714,9021473,0,9021473,0
41205,1933,Garland,State,Dallas,48113,333271,119031,60685,114335,74385,701707,100000,10000,8199,483343,100000,0,165,701707,0,701707,0
41207,1933,Gatesville,Gatesville,Coryell,48099,227458,141000,14335,208494,6337,597624,100000,50000,48185,374189,25250,0,0,597624,0,597624,0
41206,1933,Gatesville,First,Coryell,48099,261820,204472,54245,132585,20710,673832,100000,50000,44789,379006,100000,0,37,673832,0,673832,0
41208,1933,Georgetown,First,Williamson,48491,113733,102750,122443,145471,37187,521584,100000,5000,8197,308291,100000,0,96,521584,0,521584,0
41211,1933,Giddings,First,Lee,48287,79449,97600,4183,153609,16599,351440,60000,40000,15337,221103,15000,0,0,351440,0,351440,0
41213,1933,Gilmer,Farmers and Merchants,Upshur,48459,205814,90000,97546,169150,49313,611823,50000,10000,19320,482503,50000,0,0,611823,0,611823,0
41212,1933,Gilmer,First,Upshur,48459,310053,85000,87583,299847,59870,842353,100000,20000,24014,673272,25000,0,67,842353,0,842353,0
41214,1933,Glen Rose,First,Somervell,48425,37927,1150,63551,29768,5696,138092,25000,0,-57,113149,0,0,0,138092,0,138092,0
41216,1933,Goldthwaite,First,Mills,48333,24366,1000,900,58597,12442,97305,25000,1765,0,70540,0,0,0,97305,0,97305,0
41217,1933,Goliad,First,Goliad,48175,212958,52100,95592,238322,38895,637867,50000,50000,12137,476450,49280,0,0,637867,0,637867,0
41219,1933,Gordon,First,Palo Pinto,48363,95362,6250,1800,54075,10875,168362,50000,9307,0,102805,6250,0,0,168362,0,168362,0
41221,1933,Gorman,First,Eastland,48133,121144,93300,6600,103442,28075,352561,30000,12500,7245,272816,30000,0,0,352561,0,352561,0
41222,1933,Graford,First,Palo Pinto,48363,49887,5800,1050,26919,6099,89755,25000,10000,4859,49896,0,0,0,89755,0,89755,0
41223,1933,Graham,First,Young,48503,261574,112468,185663,109808,64177,733690,100000,60000,5752,540410,25000,0,2528,733690,0,733690,0
41224,1933,Graham,Graham,Young,48503,366475,122300,110077,168587,67949,835388,50000,75000,14804,635584,50000,0,10000,835388,0,835388,0
41225,1933,Granbury,First,Hood,48221,166066,153451,13381,25588,77040,435526,100000,0,6768,228758,100000,0,0,435526,0,435526,0
41227,1933,Grand Saline,State,Van Zandt,48467,77940,135029,128160,348755,26572,716456,50000,25000,17000,575501,48800,0,155,716456,0,716456,0
41228,1933,Grandview,First,Johnson,48251,76612,95000,2400,103103,13000,290115,40000,20000,2317,187798,40000,0,0,290115,0,290115,0
41231,1933,Granger,Granger,Williamson,48491,55873,10000,25998,89408,27414,208693,35000,1000,778,161915,10000,0,0,208693,0,208693,0
41230,1933,Granger,First,Williamson,48491,66616,9000,37703,27054,23220,163593,50000,3000,16141,85452,9000,0,0,163593,0,163593,0
41232,1933,Grapevine,Tarrant Co,Tarrant,48439,58379,100000,22700,109730,10736,301545,50000,11000,3000,187545,50000,0,0,301545,0,301545,0
41233,1933,Greenville,Greenville Nat Exchange,Hunt,48231,763644,532050,475439,1036203,338803,3146139,250000,150000,14782,2519364,200000,0,11993,3146139,0,3146139,0
41234,1933,Gregory,First,San Patricio,48409,45174,6250,1701,143246,2121,198492,25000,30500,275,136426,6250,0,41,198492,0,198492,0
41235,1933,Groesbeck,Citizens,Limestone,48293,67871,15000,89780,43583,18957,235191,50000,2000,0,168191,15000,0,0,235191,0,235191,0
41236,1933,Groom,State,Carson,48065,39338,0,28950,39999,8145,116432,25000,1000,1308,89124,0,0,0,116432,0,116432,0
41237,1933,Groveton,First,Trinity,48455,441851,65000,28457,102797,30039,668144,100000,64639,0,404631,65000,33874,0,668144,0,668144,0
41238,1933,Hale Center,First,Hale,48189,126902,995,900,41456,25340,195593,25000,2500,4824,119746,0,43487,36,195593,0,195593,0
41239,1933,Hallettsville,First,Lavaca,48285,206210,140736,219934,240237,22545,829662,60000,40000,15228,654439,59995,0,0,829662,0,829662,0
41241,1933,Hamilton,Perry,Hamilton,48193,107719,54335,54795,112902,32552,362303,100000,0,2441,259862,0,0,0,362303,0,362303,0
