id,year,city,name,county,fips,loans,ussec,othsec,cchdufrm,otherassets,assets,assets_check,diffA,capital,surpro,profits,totdep,circulation,billsred,otherliabs,liabs_check,diffL
1182,1939,glens falls,first,Warren,36113,4403749,4538835,1504658,1726330,352051,12525623,12525623,0,500000,500000,640864,10837043,0,0,47716,12525623,0
1183,1939,glens falls,glens falls nb and tc,Warren,36113,3179008,2251442,746667,1719207,276854,8173178,8173178,0,584000,216000,67121,7291524,0,0,14533,8173178,0
1185,1939,gloversville,city,Fulton,36035,2186327,1598953,1487635,1660072,173444,7106431,7106431,0,500000,220000,194680,6165002,0,0,26749,7106431,0
1186,1939,gloversville,fulton county nb and tc,Fulton,36035,2095734,1588989,927925,1330638,221411,6164697,6164697,0,350000,261000,69038,5472906,0,0,11753,6164697,0
1187,1939,goshen,goshen,Orange,36071,45464,189669,195085,470549,10300,911067,911067,0,55000,55000,31985,766882,0,0,2200,911067,0
1188,1939,goshen,nb of orange county,Orange,36071,353458,276064,529806,1096035,24246,2279609,2279609,0,110000,220000,191479,1705429,0,0,52701,2279609,0
1190,1939,grand gorge,first,Delaware,36025,271399,115400,309384,146582,5606,848371,848371,0,50000,50000,62921,681278,0,0,4172,848371,0
1193,1939,granville,washington county,Washington,36115,706650,658270,31542,234577,93556,1724595,1724595,0,100000,15000,65752,1543840,0,0,3,1724595,0
1196,1939,greenport,first,Suffolk,36103,228602,466919,58752,320405,16157,1090835,1090835,0,50000,75000,41699,922152,0,0,1984,1090835,0
1197,1939,greenport,peoples,Suffolk,36103,110607,296350,156725,202783,14532,780997,780997,0,50000,75000,39407,614237,0,0,2353,780997,0
1198,1939,greenwich,first,Washington,36115,247219,0,770000,414165,22880,1454264,1454264,0,50000,50000,157345,1196907,0,0,12,1454264,0
1200,1939,groton,first,Tompkins,36109,312240,187642,325905,309515,16795,1152097,1152097,0,100000,100000,40761,907878,0,0,3458,1152097,0
1201,1939,hamden,first,Delaware,36025,427580,17748,54110,66257,14865,580560,580560,0,75250,15000,4087,452199,0,34000,24,580560,0
1202,1939,hamilton,national hamilton,Madison,36053,313260,659266,745320,423093,20135,2161074,2161074,0,110000,110000,152005,1783563,0,0,5506,2161074,0
1204,1939,hampton bays,hampton bays,Suffolk,36103,119603,218190,257565,162943,73467,831768,831768,0,100000,53500,13787,664479,0,0,2,831768,0
1205,1939,hancock,first,Delaware,36025,418735,153368,548383,230763,21999,1373248,1373248,0,100000,100000,21213,1149034,0,0,3001,1373248,0
1207,1939,harrison,first,Westchester,36119,334089,348019,623047,641135,100596,2046886,2046886,0,207500,0,-10128,1847549,0,0,1965,2046886,0
1208,1939,harrisville,first,Lewis,36049,116748,43377,81368,39032,11540,292065,292065,0,25000,8800,3101,253347,0,0,1817,292065,0
1209,1939,hartsdale,hartsdale,Westchester,36119,206236,317058,325299,656674,84281,1589548,1589548,0,50000,50000,36118,1452470,0,0,960,1589548,0
1210,1939,hartwick,hartwick,Otsego,36077,280238,60034,66878,80664,18824,506638,506638,0,50000,10000,13430,432771,0,0,437,506638,0
1211,1939,hastings on hudson,first,Westchester,36119,791598,38800,190096,738033,146258,1904785,1904785,0,100000,100000,43297,1648753,0,0,12735,1904785,0
1212,1939,haverstraw,nb of haverstraw and tc,Rockland,36087,96688,80399,293091,187481,37302,694961,694961,0,100000,32000,465,562477,0,0,19,694961,0
1214,1939,hempstead,second,Nassau,36059,472766,1524290,1743785,1771975,88663,5601479,5601479,0,350000,105000,242875,4902126,0,0,1478,5601479,0
1215,1939,herkimer,first,Herkimer,36043,1132409,1036671,726242,874257,290346,4059925,4059925,0,800000,0,-271246,3505677,0,0,25494,4059925,0
1217,1939,hermon,first,St Lawrence,36089,221817,14200,96223,59796,32945,424981,424981,0,96390,6991,5111,316489,0,0,0,424981,0
1218,1939,heuvelton,first,St Lawrence,36089,124077,235500,65371,118556,14200,557704,557704,0,85000,3500,13597,455387,0,0,220,557704,0
1219,1939,hicksville,long island,Nassau,36059,726568,35100,149319,242731,145659,1299377,1299377,0,100000,0,29835,1146041,0,0,23501,1299377,0
1220,1939,highland,first,Ulster,36111,596867,414116,467899,189327,34656,1702865,1702865,0,125000,125000,74302,1378563,0,0,0,1702865,0
1222,1939,hobart,nb,Delaware,36025,290481,143577,137166,248349,8057,827630,827630,0,100000,59000,22444,646067,0,0,119,827630,0
1223,1939,holcomb,hamlin,Ontario,36069,263011,81351,313929,145804,10269,814364,814364,0,99500,30500,25869,658495,0,0,0,814364,0
1224,1939,holland patent,first,Oneida,36065,136490,159479,167984,113834,9227,587014,587014,0,60000,10000,34841,482173,0,0,0,587014,0
1225,1939,homer,homer,Cortland,36023,511460,264333,383998,260404,29903,1450098,1450098,0,139600,40400,26419,1243469,0,0,210,1450098,0
1227,1939,hoosick falls,peoples first,Rensselaer,36083,1036617,1849348,1135848,759709,129361,4910883,4910883,0,250000,250000,53468,4349343,0,0,8072,4910883,0
1231,1939,hudson,first nb and tc,Columbia,36021,670107,1524037,806779,526627,50231,3577781,3577781,0,200000,130000,143438,3098230,0,0,6113,3577781,0
1232,1939,hudson,farmers,Columbia,36021,1137111,947600,541270,774140,125011,3525132,3525132,0,366750,25000,92625,3020975,0,0,19782,3525132,0
1234,1939,hudson falls,peoples,Washington,36115,561759,504600,442452,455738,44359,2008908,2008908,0,100000,150000,120921,1628463,0,0,9524,2008908,0
1235,1939,hudson falls,sandy hill,Washington,36115,462556,847978,392253,762895,69154,2534836,2534836,0,230000,65000,39414,2194510,0,0,5912,2534836,0
1236,1939,huntington,first nb and tc,Suffolk,36103,421166,843280,268067,707867,30780,2271160,2271160,0,100000,100000,32324,2038836,0,0,0,2271160,0
1237,1939,ilion,ilion nb and tc,Herkimer,36043,480289,708506,1213044,668161,68781,3138781,3138781,0,210000,105000,120004,2701242,0,0,2535,3138781,0
1238,1939,ilion ,manufacturers,Herkimer,36043,611328,203000,549866,378922,48914,1792030,1792030,0,100000,60000,122500,1503048,0,0,6482,1792030,0
1239,1939,interlaken,wheeler,Seneca,36099,321943,124875,105229,197085,17648,766780,766780,0,75000,10000,20934,660846,0,0,0,766780,0
1240,1939,inwood,first,Nassau,36059,942304,194965,167004,606281,51955,1962509,1962509,0,149500,47500,48533,1716976,0,0,0,1962509,0
1241,1939,irvington,irvington nb and tc,Westchester,36119,485984,38119,123377,263466,201146,1112092,1112092,0,150000,50000,5776,901959,0,0,4357,1112092,0
1242,1939,islip,first,Suffolk,36103,301588,537690,427098,368233,63588,1698197,1698197,0,110000,70000,22074,1495496,0,0,627,1698197,0
1243,1939,ithaca,first,Tompkins,36109,1174042,3217354,92916,727462,348436,5560210,5560210,0,500000,75000,72188,4912022,0,0,1000,5560210,0
1246,1939,jamestown,first,Chautauqua,36013,1089174,3519964,2018722,2017449,209923,8855232,8855232,0,200000,325000,543206,7774181,0,0,12845,8855232,0
1248,1939,jamestown,national chautauwua co,Chautauqua,36013,1146883,1033316,1035434,1810471,163402,5189506,5189506,0,500000,75000,204745,4395718,0,0,14043,5189506,0
1249,1939,jeffersonville,first,Sullivan,36105,228699,49052,116353,177668,20412,592184,592184,0,25000,25000,39535,502648,0,0,1,592184,0
1250,1939,jordan,jordan,Onondaga,36067,181114,15200,46535,135384,13775,392008,392008,0,25000,25000,7268,334740,0,0,0,392008,0
1251,1939,keeseville,keeseville,Essex,36031,437863,115450,70466,218493,15388,857660,857660,0,100000,54100,3141,698919,0,0,1500,857660,0
1252,1939,kenmore,first,Erie,36029,821581,565408,833443,1196532,92448,3509412,3509412,0,200000,173500,76773,3043666,0,0,15473,3509412,0
